Match_ID,Match_Day,Date,Time,Home_Team,Score_Home,Away_Team,Score_Away
929633,29,Unknown Date,12:00 AM,Chelsea,0,Liverpool,0
929634,29,Unknown Date,12:00 AM,Crystal Palace,1,Aston Villa,0
929635,29,Unknown Date,12:00 AM,Everton,1,Tottenham,2
929636,29,Unknown Date,12:00 AM,Southampton,3,Norwich,0
929637,29,Unknown Date,12:00 AM,Man City,1,Sheff Wed,2
929638,29,Unknown Date,12:00 AM,Nottm Forest,1,Blackburn,3
929639,30,Unknown Date,12:00 AM,Chelsea,0,Aston Villa,1
929640,30,Unknown Date,12:00 AM,Leeds,2,Oldham Athletic,0
929641,30,Unknown Date,12:00 AM,Southampton,2,Liverpool,1
929642,30,Unknown Date,12:00 AM,Ipswich,0,Middlesbrough,1
929643,30,Unknown Date,12:00 AM,Sheff Utd,6,Tottenham,0
929644,30,Unknown Date,12:00 AM,Coventry,1,Sheff Wed,0
929645,30,Unknown Date,12:00 AM,Everton,2,Blackburn,1
929646,30,Unknown Date,12:00 AM,Nottm Forest,0,Norwich,3
929647,30,Unknown Date,12:00 AM,Crystal Palace,0,Man Utd,2
929648,30,Unknown Date,12:00 AM,Man City,1,Wimbledon FC,1
929649,30,Unknown Date,12:00 AM,Arsenal,0,QPR,0
929650,31,Unknown Date,12:00 AM,Aston Villa,2,Everton,1
929651,31,Unknown Date,12:00 AM,Liverpool,0,Ipswich,0
929652,31,Unknown Date,12:00 AM,Man Utd,2,Southampton,1
929653,31,Unknown Date,12:00 AM,Middlesbrough,1,Nottm Forest,2
929654,31,Unknown Date,12:00 AM,Norwich,2,Man City,1
929655,31,Unknown Date,12:00 AM,Oldham Athletic,0,Arsenal,1
929656,31,Unknown Date,12:00 AM,QPR,2,Coventry,0
929657,31,Unknown Date,12:00 AM,Sheff Wed,2,Crystal Palace,1
929658,31,Unknown Date,12:00 AM,Tottenham,4,Leeds,0
929659,31,Unknown Date,12:00 AM,Wimbledon FC,2,Sheff Utd,0
929660,31,Unknown Date,12:00 AM,Blackburn,2,Chelsea,0
929661,32,Unknown Date,12:00 AM,Aston Villa,1,Wimbledon FC,0
929662,32,Unknown Date,12:00 AM,Crystal Palace,0,Coventry,0
929663,32,Unknown Date,12:00 AM,Everton,2,Oldham Athletic,2
929664,32,Unknown Date,12:00 AM,Leeds,1,Ipswich,0
929665,32,Unknown Date,12:00 AM,Man Utd,3,Middlesbrough,0
929666,32,Unknown Date,12:00 AM,Nottm Forest,0,Man City,2
929667,32,Unknown Date,12:00 AM,Sheff Wed,1,Liverpool,1
929668,32,Unknown Date,12:00 AM,Southampton,3,Sheff Utd,2
929669,32,Unknown Date,12:00 AM,Tottenham,3,QPR,2
929670,32,Unknown Date,12:00 AM,Norwich,0,Blackburn,0
929671,32,Unknown Date,12:00 AM,Chelsea,1,Arsenal,0
929672,33,Unknown Date,12:00 AM,Arsenal,0,Leeds,0
929673,33,Unknown Date,12:00 AM,Nottm Forest,1,Crystal Palace,1
929674,33,Unknown Date,12:00 AM,Blackburn,0,Southampton,0
929675,33,Unknown Date,12:00 AM,Oldham Athletic,1,Man Utd,0
929676,33,Unknown Date,12:00 AM,Wimbledon FC,2,Middlesbrough,0
